VARIABLES="Frequency (rad/s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Excitation force - beta =   0.000 deg",I=    20,F=POINT
 1.2421  0.282270E+07  0.149719E+07  0.461641E+06  0.556300E+07  0.198001E+08  0.397070E+08   82.58  110.01   84.64  114.02   96.57  157.00
 1.3368  0.214903E+07  0.657332E+06  0.258421E+06  0.192124E+07  0.180852E+08  0.992902E+08  -22.98  -94.07  -20.47  -89.32  -28.57 -155.03
 1.4316  0.213863E+07  0.835847E+06  0.165436E+06  0.323492E+07  0.631111E+07  0.626111E+08 -120.65  -68.30 -155.90  -65.52  -83.06   17.92
 1.5263  0.177688E+07  0.702633E+06  0.296769E+05  0.277030E+07  0.303624E+08  0.327564E+08   86.89  113.75 -165.39  118.76   73.98   27.66
 1.6211  0.511698E+06  0.643471E+05  0.214336E+06  0.224857E+05  0.210944E+08  0.483854E+08   11.35  -90.76   33.02    9.48 -144.01 -154.97
 1.7158  0.117919E+07  0.333146E+06  0.348902E+06  0.140662E+07  0.106386E+08  0.186362E+08 -104.61  -90.44 -150.29  -84.98   18.91   18.26
 1.8105  0.123274E+07  0.387064E+06  0.408212E+06  0.152887E+07  0.649000E+07  0.110444E+08   94.58   84.02   17.59   87.39  157.92   -0.05
 1.9053  0.930081E+06  0.257368E+06  0.335588E+06  0.994720E+06  0.529535E+07  0.251723E+08  -70.07 -101.19  172.02  -99.82  -51.52  178.56
 2.0000  0.618295E+06  0.979156E+05  0.200146E+06  0.348627E+06  0.508923E+07  0.264878E+08  124.64   65.82  -31.55   61.79  113.96    4.08
Zone t="Excitation force - beta =  40.000 deg",I=    20,F=POINT
 0.2000  0.151175E+07  0.210514E+07  0.384071E+08  0.675955E+06  0.237442E+09  0.109830E+08  -89.98  -89.92   -1.83   90.07  -89.98    0.00
 0.2947  0.299096E+07  0.448088E+07  0.316079E+08  0.512750E+06  0.441268E+09  0.503706E+08  -90.18  -89.28   -7.04   90.76  -90.18    0.02
 0.3895  0.428631E+07  0.733850E+07  0.245574E+08  0.115700E+07  0.587694E+09  0.145799E+09  -92.38  -86.58  -16.12  -86.89  -92.44    0.34
 0.4842  0.479526E+07  0.936323E+07  0.176432E+08  0.454138E+07  0.615987E+09  0.317169E+09  -99.87  -79.89  -27.05  -80.59 -100.58    2.28
 0.5789  0.426158E+07  0.829480E+07  0.102572E+08  0.718287E+07  0.563602E+09  0.529356E+09 -112.95  -69.08  -39.25  -70.98 -115.81    8.87
 0.6737  0.212680E+07  0.375947E+07  0.380363E+07  0.506598E+07  0.462926E+09  0.596869E+09 -140.75  -48.42  -62.25  -54.75 -131.99   19.92
 0.7684  0.260867E+07  0.250256E+07  0.105112E+07  0.332908E+07  0.265409E+09  0.388494E+09  108.73   88.93  173.96   85.87 -148.06   30.62
 0.8632  0.467401E+07  0.455447E+07  0.225421E+07  0.914169E+07  0.718560E+08  0.558760E+08   83.10  112.01  119.01  110.59  176.37   92.41
 0.9579  0.281909E+07  0.248876E+07  0.151825E+07  0.683294E+07  0.715542E+08  0.224908E+09   58.03  114.81   84.73  112.02   35.32 -163.44
 1.0526  0.265984E+07  0.905111E+06  0.512987E+06  0.163067E+07  0.702363E+08  0.202840E+09  -42.38  -82.16   -6.83  -76.00    6.35 -168.23
 1.1474  0.277556E+07  0.228880E+07  0.396798E+06  0.719669E+07  0.727828E+07  0.137860E+08  -83.35  -88.72  -79.52  -84.42  -88.68  173.50
